"Variable Name","Schema System","Schema ID","BRICS DE PV","Schema DE Name","Schema PV","Schema PV ID"
"DEXAPerfrmDate","NINDS","C12175","","Pending","",""
"HMQRegnFunctTime","NINDS","C17078","","Pending","",""
"BHSFutNotWorkOutInd","NINDS","C51882","","Pending","",""
"HeadachFllwUpCrePrvdrName","NINDS","C16036","","Pending","",""
"PDMS2JumpDown1824InchScl","NINDS","C51365","","Pending","",""
"PDMS2JumpDown1824InchScl","NINDS","C51365","","Pending","",""
"ISIDifStayAslpMeasr","NINDS","C09378","","Pending","",""
"SF36HlthLmtBndKnlStpScore","NINDS","C08508","","Pending","",""
"SF36HlthLmtBndKnlStpScore","NINDS","C08508","","Pending","",""
"MDSUPDRSGttngOutBedScore","NINDS","C09983","","Pending","",""
"RFQWrkQuatProdUse5665AgeInd","NINDS","C09148","","Pending","",""
"BDIIIWorthlessnessScale","NINDS","C20434","","Pending","",""
"ESASOtherProblemScale","NINDS","C11664","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"MilDplyInjInd","NINDS","C00227","","Pending","",""
"ECGVentricArrhythmiaTyp","NINDS","C04515","","Pending","",""
"MDSUPDRSPtntUseLDOPAInd","NINDS","C09988","","Pending","",""
"PDMS2RemovePelletBttlClseScl","NINDS","C51435","","Pending","",""
"PDMS2RemovePelletBttlClseScl","NINDS","C51435","","Pending","",""
"MPAI4TrsptScale","NINDS","C07302","","Pending","",""
"PulmnryFunctTstEquiqManufNam","NINDS","C12303","","Pending","",""
"SMASymptmTyp","NINDS","C12632","","Pending","",""
"ARICTIAStrokeSpeLosSymInd","NINDS","C13342","","Pending","",""
"WTARFierceScore","NINDS","C20616","","Pending","",""
"StrokSymCoEvResPresInd","NINDS","C14180","","Pending","",""
"FAISADLDressUndressScale","NINDS","C12090","","Pending","",""
"CareProvisionLevel","NINDS","C19159","","Pending","",""
"PenetrateInjDeepExtntAntSite","NINDS","C02458","","Pending","",""
"CMSExhibIntrstNewThingFrqScl","NINDS","C50020","","Pending","",""
"PBASObsCompBehvFrqScore","NINDS","C17212","","Pending","",""
"BrainHarvestingDateTime","NINDS","C14970","","Pending","",""
"CardiovHltExmVentDysrthymOTH","NINDS","C18882","","Pending","",""
"HASESDiarrhScale","NINDS","C13123","","Pending","",""
"FBIInflexibilityScore","NINDS","C11847","","Pending","",""
"HASESUncerWalkScale","NINDS","C13119","","Pending","",""
"AlcUseFreq","NINDS","C00730","","Pending","",""
"HBIChldDirProbScale","NINDS","C07199","","Pending","",""
"LstHeadachCurntDayElapsTime","NINDS","C15596","","Pending","",""
"PDNMSUrgencyPssUrineRushInd","NINDS","C17323","","Pending","",""
"HMQMstSevHdachEffScale","NINDS","C17080","","Pending","",""
"MACEDiagnOth","NINDS","C19528","","Pending","",""
