"variable name","title","element type","definition","short description","datatype","maximum character quantity","input restriction","minimum value","maximum value","permissible values","permissible value descriptions","permissible value output codes","unit of measure","guidelines/instructions","notes","preferred question text","keywords","references","external ID.LOINC","external ID.SNOMED","external ID.caDSR","external ID.CDISC","external ID.NINDS","population.all","domain.general (for all diseases)","domain.traumatic brain injury","domain.Parkinson's disease","domain.Friedreich's ataxia","domain.stroke","domain.amyotrophic lateral sclerosis","domain.Huntington's disease","domain.multiple sclerosis","domain.neuromuscular diseases","domain.myasthenia gravis","domain.spinal muscular atrophy","domain.Duchenne muscular dystrophy/Becker muscular dystrophy","domain.congenital muscular dystrophy","domain.spinal cord injury","domain.headache","domain.epilepsy","classification.general (for all diseases)","classification.acute hospitalized","classification.concussion/mild TBI","classification.epidemiology","classification.moderate/severe TBI: rehabilitation","classification.Parkinson's disease","classification.Friedreich's ataxia","classification.stroke","classification.amyotrophic lateral sclerosis","classification.Huntington's disease","classification.multiple sclerosis","classification.neuromuscular diseases","classification.myasthenia gravis","classification.spinal muscular atrophy","classification.Duchenne muscular dystrophy/Becker muscular dystrophy","classification.congenital muscular dystrophy","classification.spinal cord injury","classification.headache","classification.epilepsy","historical notes","Label(s)","see also","submitting organization name","submitting contact name","submitting contact information","effective date","until date","steward organization name","steward contact name","steward contact information"
"BirthDate","Birth date","Common Data Element","Date (and time, if applicable and known) the participant/subject was born","Date (and time, if applicable and known) the participant/subject was born","Date or Date & Time",,"Free-Form Entry",,,,,,,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http: //www.iso.org/iso/home.html). The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.). Recording date of birth will give the most detailed information required for calculation of age and is recommended as first choice. However, in some studies recording date of birth may elicit discussions on a potential violation of privacy legislation and specifically HIPAA regulations. In these cases, the calculated age should be recorded.","Data Sharing Instructions: When date/time data are prepared for aggregation or sharing they should be converted to the format specified by ISO 8601, YYYY-MM-DDThh:mm:ss.","What is the subject's date of birth? ","Core_TBI","ISO 8601 - http: //www.iso.org/iso/iso_catalogue.htm Management and prognosis of severe traumatic brain injury: Age. J Neurotrauma. 2000;17: 573-581.
Mushkudiani NA, Engel DC, Steyerberg EW, et al. Prognostic value of demographic characteristics in traumatic brain injury: results from the IMPACT study. J Neurotrauma. Feb 2007;24(2): 259-69. 
Pediatric-specific reference(s): Anderson V, Catroppa C, Morse S, Haritou F, Rosenfeld J (2005) Functional plasticity or vulnerability after early brain injury. Pediatric 116: 1374-1382
",,,793,,"C00007","Adult and Pediatric","Protocol Experience.Participant/Subject Identification, Eligibility, and Enrollment;Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Assessments and Examinations.Other Clinical Data;Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics",,,"N/A.N/A","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Core","Core","Core","Core","Core","Core","Core","Core","Core","Supplemental","Core","Core","Core","Core",,,"Core","Core","Core","Birth date",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"EduPrimCaregiverYrCt","Education primary caregiver year count","Common Data Element","Number of years of education of the primary caregiver (age 5 and beyond).","Number of years of education of the primary caregiver (age 5 and beyond).","Numeric Values",,"Free-Form Entry",0,30,,,,"Year","No instructions available","In order to apply to international setting, this data element was made to supplement C00013","How many years of education does the parent, guardian, or caregiver have? ","Core_TBI","No references available",,,,,"C18614","Adult and Pediatric",,"Participant/Subject Characteristics.Social Status",,,,,,,,,,,,,,,,"Core","Core","Core","Core",,,,,,,,,,,,,,,,,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"EduSchoolParticipStatus","Education school participation status","Common Data Element","Status of participant/subjects current attendance at school","Status of participant/subjects current attendance at school","Alphanumeric",,"Single Pre-Defined Value Selected",,,"Going to school;Neither;On vacation from school (between grades);Unknown","Going to school;Neither;On vacation from school (between grades);Unknown","1;2;3;4",,"Choose one. Recommend collection at least on date of TBI.",,"What is the subject current attendance in school?","Core_TBI","National Health and Nutrition Examination Survey (http: //www.cdc.gov/nchs/nhanes.htm)",,,,,"C00202","Adult and Pediatric","Participant/Subject Characteristics.Social Status;Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Social Status;Participant/Subject Characteristics.Demographics",,,,,,,"Participant/Subject Characteristics.Social Status",,"Participant/Subject Characteristics.Social Status",,,,,,"Core","Core","Core","Core","Core",,,,,,,"Supplemental",,"Supplemental",,,,,,"Education school participation status",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"EduYrCt","Education year count","Common Data Element","Number of years of education completed (age 5 and beyond)","Number of years of education completed (age 5 and beyond)","Numeric Values",,"Free-Form Entry",0,30,,,,"Year","Choose the highest level attained by the participant/subject caBIG CDE Public ID = 3134878 For years completed, code the number of years attained (0-30 years), normed to someone moving full time at the usual pace, i.e. a year that was repeated counts as only 1 year and the usual single-year full-time load completed over several years counts as 1 year. Certificate and technical programs do NOT count no matter how specialized. The number of years of typical completion of the relevant program is counted. If the subject obtained their education outside the United States, ask about their educational system to estimate the correct coding - Internship, Residency, and Fellowship years are experiential training and do not count. Recommend collection at least on date of TBI.","Choose the highest level attained by the participant/subject ","How many years of education does the subject have? ","Core_TBI","No references available",,,3134878,,"C00015","Adult and Pediatric","Participant/Subject Characteristics.Social Status","Participant/Subject Characteristics.Social Status",,,"Participant/Subject Characteristics.Social Status","Participant/Subject Characteristics.Social Status",,"Participant/Subject Characteristics.Social Status",,,,,,,"Participant/Subject Characteristics.Social Status",,"Supplemental","Core","Core","Core","Core",,,"Supplemental","Core",,"Supplemental",,,,,,,"Core",,"Education level USA type",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"EmplmtExpndOTH","Employment expanded other text","Common Data Element","The free-text field related to Employment expanded status specifying other text. Status of participant/subjects current employment","The free-text field related to Employment expanded status specifying other text. Status of participant/subjects current employment","Alphanumeric",4000,"Free-Form Entry",,,,,,,"Choose one.","Prior TBI studies utilized the Employment Status data element for data capture","Other, specify","Core_TBI","National Health and Nutrition Examination Survey (http: //www.cdc.gov/nchs/nhanes.htm)",,,,,"C18676","Adult and Pediatric",,"Participant/Subject Characteristics.Social Status",,,,,,,,,,,,,,,,"Core","Core","Core","Core",,,,,,,,,,,,,,,,,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"EmplmtExpndStatus","Employment expanded status","Common Data Element","Status of participant/subjects current employment","Status of participant/subjects current employment","Alphanumeric",,"Single Pre-Defined Value Selected",,,"Not in paid workforce;Other, specify;Sick leave or maternity leave;Special employment;Temporary/odd jobs/less than minimum wage jobs;Unable to obtain information;Unemployed;Unknown;Working 20-34 hrs/week, at least minimum wage;Working full time;Working less than 20 hrs/week, at least minimum wage","Not in paid workforce (including child, retired, student, homemaker, disabled pre-injury);Other, specify;Sick leave or maternity leave;Special employment (sheltered workshop, supportive employment, job coach);Temporary/odd jobs/less than minimum wage jobs;Unable to obtain information;Unemployed;Unknown;Working 20-34 hrs/week, at least minimum wage;Working full time (35 hrs or more/week, at least minimum wage);Working less than 20 hrs/week, at least minimum wage","1;444;3;4;5;6;7;999;9;10;11",,"Choose one.","Prior TBI studies utilized the Employment Status data element for data capture","What is the status of the subject's current employment?","Core_TBI","National Health and Nutrition Examination Survey (http: //www.cdc.gov/nchs/nhanes.htm)",,,,,"C18658","Adult and Pediatric",,"Participant/Subject Characteristics.Social Status",,,,,,,,,,,,,,,,"Core","Core","Core","Core",,,,,,,,,,,,,,,,,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"EmplmtStatu","Employment status","Common Data Element","Status of participant/subject's current employment","Status of participant/subject's current employment","Alphanumeric",,"Single Pre-Defined Value Selected",,,"Disabled, permanently or temporarily;Keeping house;Looking for work, unemployed;Only temporarily laid off;Other, specify;Retired;Sick leave or maternity leave;Student;Unknown;Working Now","Disabled, permanently or temporarily;Keeping house;Looking for work, unemployed;Only temporarily laid off;Other, specify;Retired;Sick leave or maternity leave;Student;Unknown;Working Now","1;2;3;4;444;6;7;8;999;10",,"For years completed, code the number of years attained (0-30 years), normed to someone moving full time at the usual pace, i.e. a year that was repeated counts as only 1 year and the usual single-year full-time load completed over several years counts as 1 year. Certificate and technical programs do NOT count no matter how specialized.    The number of years of typical completion of the relevant program is counted. If the subject obtained their education outside the United States, ask about their educational system to estimate the correct coding - Internship, Residency, and Fellowship years are experiential training and do not count.  Recommend collection at least on date of TBI.","Return to work is a relevant outcome parameter in patients in paid workforce prior to injury. If post injury employment is an outcome, pre-injury employment is an important predictor.","Employment status","Core_TBI","No references available",,,,,"C00204","Adult and Pediatric","Participant/Subject Characteristics.Social Status;Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Social Status;Participant/Subject Characteristics.Demographics",,"Participant/Subject Characteristics.Social Status","Participant/Subject Characteristics.Social Status",,,"Participant/Subject Characteristics.Social Status","Participant/Subject Characteristics.Social Status",,"Participant/Subject Characteristics.Social Status",,,,"Participant/Subject Characteristics.Social Status","Participant/Subject Characteristics.Social Status","Core","Core","Core","Core","Core",,"Supplemental","Supplemental",,,"Supplemental","Supplemental",,"Supplemental",,,,"Core","Supplemental",,,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"EthnUSACat","Ethnicity USA category","Common Data Element","Category of ethnicity the participant/subject most closely identifies with","Category of ethnicity the participant/subject most closely identifies with","Alphanumeric",,"Single Pre-Defined Value Selected",,,"Hispanic or Latino;Not Hispanic or Latino;Not reported;Unknown","A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race. The term ""Spanish origin"" can also be used in addition to ""Hispanic or Latino"".;A person not meeting the definition for Hispanic or Latino.;Not provided or available;Could not be determined or unsure","1;2;0;999",,"Choose one.  Response is obtained by report of the participant/subject or caretaker.  If more detailed characterizations of ethnicity are collected to enhance data quality and consistency, it is recommended that they be ""collapsible"" up to the two categories for reportable ethnicity, as needed for reporting to FDA under its guidance. Other regulatory bodies may expect the reporting of ethnicity values which more appropriately reflect the population of their areas (e.g., Japanese ancestry for MHLW reporting to Japan). These may be collected as an extension to the suggested code list.","The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget Directive No. 15 defines the minimum standard of basic racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm)","What is the subject's ethnicity?","Core_TBI","The NIH Guidelines on Inclusion of Women and Minorities as Subjects in Clinical Research: The Office of Management and Budget (OMB) Directive No. 15 defines the minimum standard of Core racial and ethnic categories. (http://grants.nih.gov/grants/funding/women_min/guidelines_update.htm)  Collection of Race and Ethnicity Data in Clinical Trials (FDA, September 2005 - http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) Jorde LB and Wooding SP. Genetic variation, classification and ""race"". Nature Genetics. 2004;36(11):S28-S33. Bhopal R and Donaldson L. White, European, Western, Caucasian, or What? Inappropriate labeling in Research on Race, Ethnicity, and Health. Amer J of Publ Health. 1998;88:1303-1307.",,,2192217,,"C00020","Adult and Pediatric","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics",,,,"Participant/Subject Characteristics.Demographics","Participant/Subject Characteristics.Demographics","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core","Core",,,,"Core","Core","Ethnicity USA category",,,"NIH/CIT/BRICS","Olga Vovk","olga.vovk@nih.gov",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"GCSEyeRespnsScale","Glasgow Coma Scale (GCS) - eye response scale","Common Data Element","Glasgow Coma Scale (GCS) - Best eye response (E). The GCS is a standardized instrument for assessing the level of consciousness. It evaluates three aspects of responsiveness: eye opening, motor response, verbal response.","Glasgow Coma Scale (GCS) - Best eye response (E). The GCS is a standardized instrument for assessing the level of consciousness. It evaluates three aspects of responsiveness: eye opening, motor response, verbal response.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"1;2;3;4;Unknown;Untestable","No eye opening;Eye opening to pain;Eye opening to speech/verbal command;Eyes open spontaneously;Unknown;Untestable","1;2;3;4;0;555",,"Choose one. This element should be collected along with the other elements from the Glasgow Coma Scale (GCS). Intubation and severe facial/eye swelling or damage make it impossible to test the verbal and eye responses. In these circumstances, the score is given as 1 with a modifier attached e.g. 'E1s' where 's' = swollen, or 'V1t' where t = tube. A composite might be 'GCS 5ts'. This would mean, for example, eyes closed because of swelling = 1, intubated = 1, leaving a motor score of 3 for 'abnormal flexion'. Often the 1 is left out, so the scale reads ES or VT.",,"Best eye response","Core_TBI","Teasdale G, Jennett B. Assessment of coma and impaired consciousness. A practical scale. Lancet. Jul 1974;2(7872): 81-4. 
Marmarou A, Lu J, Butcher I, et al. Prognostic value of the Glasgow Coma Scale and pupil reactivity in traumatic brain injury assessed pre-hospital and on enrolment: an IMPACT analysis. J Neurotrauma. Feb 2007;24(2): 270-80. 
Stocchetti N, Pagan F, Calappi E, et al. Inaccurate early assessment of neurological severity in head injury. J Neurotrauma. Sep 2004: 21(9): 1131-40. 
Balestreri M, Czosnyka M, Chatfield DA, et al. Predictive value of Glasgow Coma Scale after brain trauma: change in trend over the past ten years. J Neurol Neurosurg Psychiatry. Jan 2004;75(1): 161-2.",,,,,"C01000","Adult and Pediatric","Disease/Injury Related Events.History of Disease/Injury Event;Assessments and Examinations.Physical/Neurological Examination","Assessments and Examinations.Physical/Neurological Examination",,,"Disease/Injury Related Events.History of Disease/Injury Event",,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,"Supplemental",,,,,,,,,,,,"GCS Eye response",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
"GCSMotorRespnsScale","Glasgow Coma Scale (GCS) - motor response scale","Common Data Element","Glasgow Coma Scale (GCS) - Best motor response (M). The GCS is a standardized instrument for assessing the level of consciousness. It evaluates three aspects of responsiveness: eye opening, motor response, verbal response.","Glasgow Coma Scale (GCS) - Best motor response (M). The GCS is a standardized instrument for assessing the level of consciousness. It evaluates three aspects of responsiveness: eye opening, motor response, verbal response.","Alphanumeric",,"Single Pre-Defined Value Selected",,,"1;2;3;4;5;6;Unknown;Untestable","No motor response;Abnormal extension/Extensor response;Abnormal flexion;Flexion withdrawal/withdraws from pain;Localizes pain;Obeys command;Unknown;Untestable","1;2;3;4;5;6;999;555",,"Choose one. This element should be collected along with the other elements from the Glasgow Coma Scale (GCS).
",,"Best motor response","Core_TBI","Teasdale G, Jennett B. Assessment of coma and impaired consciousness. A practical scale. Lancet. Jul 1974;2(7872): 81-4. 
Marmarou A, Lu J, Butcher I, et al. Prognostic value of the Glasgow Coma Scale and pupil reactivity in traumatic brain injury assessed pre-hospital and on enrolment: an IMPACT analysis. J Neurotrauma. Feb 2007;24(2): 270-80. 
Stocchetti N, Pagan F, Calappi E, et al. Inaccurate early assessment of neurological severity in head injury. J Neurotrauma. Sep 2004: 21(9): 1131-40. 
Balestreri M, Czosnyka M, Chatfield DA, et al. Predictive value of Glasgow Coma Scale after brain trauma: change in trend over the past ten years. J Neurol Neurosurg Psychiatry. Jan 2004;75(1): 161-2.",,,,,"C01001","Adult and Pediatric","Assessments and Examinations.Physical/Neurological Examination;Disease/Injury Related Events.History of Disease/Injury Event","Assessments and Examinations.Physical/Neurological Examination;Disease/Injury Related Events.Classification",,,"Disease/Injury Related Events.History of Disease/Injury Event",,,,,,,,,,,,"Supplemental","Core","Core","Core","Core",,,"Supplemental",,,,,,,,,,,,"GCS Motor response",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com",,,"NIH/NINDS","NINDSCDE","NINDSCDE@emmes.com"
